ID,Gloss,Language,Word,Cluster
0,louse:0,ALBANIAN_GHEG,mor,louse:1
1,louse:0,ALBANIAN,morr,louse:1
2,louse:0,ALBANIAN_TOSK,mor,louse:2
3,louse:1,ARAGONESE,pegoLo,louse:1
4,louse:1,ASTURIAN,pioyu,louse:1
5,louse:1,CORSICAN,pidoTu,louse:1
6,louse:3,DALMATIAN,pedoklo,louse:1
7,louse:3,FRIULIAN,pEdoli,louse:1
8,louse:1,GALICIAN,pioLo,louse:1
9,louse:3,ITALIAN,pidokko,louse:1
10,louse:3,ITALIAN_GROSSETO_TUSCAN,pidokyo,louse:1
11,louse:1,JUDEO_ESPAGNOL,pioxo,louse:1
12,louse:1,NONES,piocEl,louse:1
13,louse:1,PORTUGUESE,pioLu,louse:1
14,louse:3,ROMANIAN_MEGLENO,pidukLu,louse:1
15,louse:1,SARDINIAN,priogu,louse:1
16,louse:1,SARDINIAN_CAMPIDANESE,prioxu,louse:1
17,louse:1,SARDINIAN_LOGUDARESE,preuku,louse:1
18,louse:1,SPANISH,pioho,louse:1
19,louse:2,CATALAN,poL,louse:1
20,louse:2,CATALAN_2,poL,louse:2
21,louse:2,NONES_FASSANO,poye,louse:1
22,louse:2,NONES_GARDENESE,podl,louse:1
23,louse:2,EMILIANO_CARPIGIANO,pyoC,louse:1
24,louse:4,EMILIANO_FERRARESE,vdoC,louse:1
25,louse:2,EMILIANO_REGGIANO,pyoC,louse:2
26,louse:2,LOMBARD_BERGAMO,pyoC,louse:3
27,louse:2,LOMBARD_PLESIO,pyoC,louse:4
28,louse:2,PIEMONTESE_VERCELLESE,pyoC,louse:5
29,louse:4,ROMAGNOL_RAVENNATE,bdoC,louse:1
30,louse:5,FRENCH,pu,louse:1
31,louse:2,PIEMONTESE_BARBANIA,puy,louse:1
32,louse:2,PIEMONTESE_CARMAGNOLA,puy,louse:2
33,louse:2,PIEMONTESE_LANZO_TORINESE,puy,louse:3
34,louse:3,GASCON,pedui,louse:1
35,louse:3,LANGUEDOCIEN,pezul,louse:1
36,louse:1,LIGURIAN_GENOESE,pigEju,louse:1
37,louse:1,LIGURIAN_RAPALLO,pigEju,louse:2
38,louse:1,LIGURIAN_STELLA,pyEju,louse:1
39,louse:3,NEAPOLITAN_CALABRESE,p3ruky3,louse:1
40,louse:3,ROMANIAN,p3duke,louse:1
41,louse:3,ROMANIAN_2,paduke,louse:1
42,louse:2,ROMANSH_GRISHUN,pluL,louse:1
43,louse:2,ROMANSH_SURMIRAN,pluL,louse:2
44,louse:2,ROMANSH_SURSILVAN,pluL,louse:3
45,louse:2,ROMANSH_VALLADER,plwoL,louse:1
46,liver:0,ALBANIAN_GHEG,m3lCi,liver:1
47,liver:0,ALBANIAN,m3lCi,liver:2
48,liver:0,ALBANIAN_TOSK,m3lCi,liver:3
49,liver:1,ARAGONESE,figado,liver:1
50,liver:1,DALMATIAN,figuot,liver:1
51,liver:3,FRENCH,fa,liver:1
52,liver:1,FRIULIAN,fiat,liver:1
53,liver:1,GALICIAN,figado,liver:2
54,liver:1,JUDEO_ESPAGNOL,igado,liver:1
55,liver:1,LIGURIAN_RAPALLO,figEtu,liver:1
56,liver:1,NONES,fica,liver:1
57,liver:1,PORTUGUESE,fixa8u,liver:1
58,liver:1,ROMANIAN,fikat,liver:1
59,liver:1,ROMANIAN_2,fikat,liver:2
60,liver:1,SARDINIAN,figadu,liver:1
61,liver:1,SARDINIAN_CAMPIDANESE,figaw,liver:1
62,liver:1,SARDINIAN_LOGUDARESE,fikadu,liver:1
63,liver:1,SICILIAN_UnnamedInSource,fiCatu,liver:1
64,liver:1,SPANISH,igado,liver:2
65,liver:9,TURIA_AROMANIAN,layikat,liver:1
66,liver:1,CATALAN,fej3,liver:1
67,liver:1,CATALAN_2,fej3,liver:2
68,liver:1,LANGUEDOCIEN,feje,liver:1
69,liver:1,CORSICAN,fegatu,liver:1
70,liver:1,EMILIANO_FERRARESE,fEgat,liver:1
71,liver:1,ITALIAN,fegato,liver:1
72,liver:1,ITALIAN_GROSSETO_TUSCAN,fegato,liver:2
73,liver:1,LIGURIAN_GENOESE,fegatu,liver:2
74,liver:1,LIGURIAN_STELLA,fegatu,liver:3
